id,name,full,team,pos,price,sel%,pts_25_26,mins,starts,ppg,g,a,xG,xA,xGI90,xGC90,cs,bonus,bps,defcon,defcon90,ict,joined,status,news,cop_next,pens,sp,fk,ep_next,born
411,Haaland,Erling Haaland,MCI,FWD,15.5,74.8,239,2953,34,6.8,27,8,25.5,2.67,0.86,1.18,13,43,952,104,3.17,302.3,2022-07-01,a,,,1,,,4.0,2000-07-21
426,B.Fernandes,Bruno Borges Fernandes,MUN,MID,12.0,48.7,235,3065,35,6.7,9,24,10.79,12.28,0.68,1.3,7,41,1008,287,8.43,381.4,2020-01-30,a,,,1,4,1,4.0,1994-09-08
12,Saka,Bukayo Saka,ARS,MID,9.5,10.6,157,2218,25,5.1,7,10,7.57,7.16,0.6,0.63,12,18,570,184,7.47,230.6,2018-11-28,a,,,1,6,2,3.2,2001-09-05
154,Palmer,Cole Palmer,CHE,MID,9.5,12.2,114,1954,24,4.4,10,2,10.55,2.49,0.6,1.43,3,11,430,135,6.22,147.7,2023-09-01,a,,,1,,3,3.2,2002-05-06
379,Isak,Alexander Isak,LIV,FWD,9.0,11.2,41,694,8,2.9,3,1,2.59,0.08,0.35,1.09,1,4,140,30,3.89,36.9,2025-09-01,a,,,1,,,2.7,1999-09-21
397,Semenyo,Antoine Semenyo,MCI,MID,8.5,22.4,202,3200,37,5.5,17,6,11.1,3.12,0.4,1.34,12,18,678,236,6.64,257.7,2026-01-09,a,,,3,,,2.9,2000-01-07
4,Gabriel,Gabriel dos Santos Magalhães,ARS,DEF,8.0,26.1,209,2750,30,6.5,3,5,2.94,1.75,0.16,0.72,18,30,724,277,9.07,125.0,2020-09-01,a,,,,,,4.0,1997-12-19
480,Gibbs-White,Morgan Gibbs-White,NFO,MID,8.0,11.6,188,3101,35,5.1,15,4,10.81,2.91,0.39,1.44,10,18,712,178,5.17,242.5,2022-08-19,a,,,2,,1,2.8,2000-01-27
106,Thiago,Igor Thiago Nascimento Rodrigues,BRE,FWD,8.0,16.0,181,3282,37,4.8,22,1,20.6,1.83,0.61,1.46,10,22,710,214,5.87,256.9,2024-07-01,a,,,1,,,2.5,2001-06-26
55,Watkins,Ollie Watkins,AVL,FWD,8.0,12.5,167,2833,33,4.5,16,4,15.4,1.18,0.53,1.38,9,26,623,94,2.99,225.2,2020-09-09,a,,,2,,,2.5,1995-12-30
427,Mbeumo,Bryan Mbeumo,MUN,MID,8.0,18.0,148,2611,31,4.5,11,3,11.98,4.99,0.58,1.24,8,16,528,139,4.79,231.4,2025-07-21,a,,,2,5,2,2.8,1999-08-07
428,Cunha,Matheus Santos Carneiro da Cunha,MUN,MID,8.0,14.1,143,2493,29,4.3,10,4,6.9,3.36,0.37,1.29,8,14,591,211,7.62,202.5,2025-06-01,a,,,,,,2.8,1999-05-27
