id,price,sel_pct,tin,tout,dcost_event,status
1,6.0,37.8,144451,153875,0,a
2,5.0,0.1,457,913,0,a
3,5.0,0.0,127,342,0,a
4,8.0,26.3,36107,238398,0,a
5,6.5,0.1,435,1966,0,i
6,6.0,0.2,965,4634,0,i
7,5.5,0.7,6774,9597,0,a
8,5.6,43.7,356268,81705,0,a
9,5.4,1.2,3870,26412,0,a
10,5.5,7.2,116985,77043,0,a
11,5.5,4.9,11314,65343,0,a
12,9.5,10.6,90268,68210,0,a
13,7.5,14.8,16833,176911,0,a
14,6.4,1.5,6221,29926,-1,a
15,6.6,11.3,91355,117159,0,a
16,6.4,0.3,972,5778,0,a
17,5.9,0.5,2560,11203,-1,a
18,6.3,0.2,1004,4548,-1,a
19,5.4,0.8,3040,14655,-1,a
20,5.4,0.1,517,1563,0,a
22,5.4,0.0,157,300,-1,u
23,5.5,0.0,175,206,0,u
24,5.5,0.0,4,252,0,u
25,7.3,5.1,6437,139947,-1,a
26,7.5,7.0,54858,95040,0,a
27,5.9,0.3,2250,7787,-1,u
31,4.4,10.5,162774,146009,-1,a
452,6.8,2.2,3997,47809,-1,a
557,6.5,21.6,80686,399669,0,a
29,4.5,0.1,1847,1766,0,a
30,4.5,0.1,0,1745,0,u
32,4.5,7.1,27445,56084,0,a
33,4.5,0.4,2137,3718,0,a
34,4.5,0.4,3309,3057,0,a
35,5.0,0.1,744,982,0,a
36,4.5,0.8,6921,6032,0,a
37,4.5,0.3,2296,2194,0,a
38,4.0,1.7,12088,12650,0,a
39,4.0,0.2,0,3108,0,u
41,6.0,1.1,11308,16643,0,a
44,5.4,0.1,954,2505,-1,a
45,5.5,2.5,11006,31882,0,a
46,5.0,0.3,3847,2897,0,a
47,5.0,0.3,3800,4368,0,a
48,5.0,0.0,122,470,0,i
49,5.0,0.0,0,58,0,u
50,4.5,0.7,6668,6978,0,a
51,4.5,0.9,24414,9832,0,a
52,5.0,0.0,600,684,0,a
53,5.9,0.1,262,4184,-1,i
54,5.5,0.0,66,932,0,s
55,7.8,5.1,4250,220573,-1,u
56,5.5,0.1,2901,2092,0,a
160,5.9,0.5,1968,9067,-1,a
166,6.5,0.9,22931,5183,0,a
582,5.5,0.3,744,6958,0,i
596,4.5,0.1,613,1209,0,a
597,5.0,1.1,21169,7680,0,a
606,4.0,0.2,5256,1312,0,a
607,4.5,0.1,3060,1751,0,a
611,4.5,0.1,5140,1224,0,a
618,6.0,0.0,2743,662,0,a
630,4.5,0.0,290,33,0,a
631,6.0,0.0,1351,139,0,a
57,4.5,3.4,32996,24458,0,a
58,4.0,3.4,25940,14925,0,a
59,4.0,0.2,0,2250,0,u
60,5.5,0.9,5230,8163,0,a
61,5.5,3.9,9083,29215,0,a
62,5.0,0.2,1426,3156,0,a
63,5.0,0.0,67,194,0,i
64,4.5,0.1,1240,1496,0,a
65,4.5,0.0,68,301,0,i
66,4.0,0.3,4379,1813,0,a
67,6.5,2.4,8529,43851,0,a
68,6.0,2.3,20510,34942,0,a
69,6.0,1.9,42316,12969,0,a
70,6.0,1.1,7596,16946,0,a
71,5.0,0.2,5059,2839,0,a
72,5.0,0.1,307,1182,0,a
73,5.0,0.2,4372,3739,0,a
74,5.0,0.1,938,731,0,a
75,5.0,0.0,773,384,0,a
76,5.0,0.0,91,180,0,a
77,4.9,0.0,113,517,-1,i
78,7.4,0.2,207,6561,-1,i
79,6.0,3.2,53375,30648,0,a
80,5.5,0.0,0,420,0,u
81,6.0,0.1,1112,1482,0,a
566,5.0,0.4,7617,4383,0,a
573,4.5,0.2,288,1735,0,a
608,5.0,0.1,3496,1526,0,a
615,4.5,0.0,1108,348,0,a
82,5.0,7.3,75424,41304,0,a
83,4.5,0.1,682,994,0,a
84,5.5,2.2,19074,14644,0,a
85,4.9,0.1,101,2042,-1,i
86,5.5,1.9,67519,17911,0,a
87,4.5,5.0,97942,38835,0,a
88,4.6,9.3,139436,57753,0,a
89,4.5,0.2,433,1559,0,a
90,4.5,0.1,511,674,0,a
92,4.5,0.0,116,216,0,a
93,4.5,0.2,127,1040,0,a
94,6.0,4.0,77149,31902,0,a
95,6.5,0.9,3047,19601,0,a
96,5.5,0.5,2568,5341,0,a
97,5.5,0.2,547,4706,0,d
98,5.0,0.6,22327,10052,0,a
99,5.0,0.0,24,28,0,i
100,5.0,0.0,412,279,0,a
102,5.0,1.0,652,13485,0,a
103,5.0,0.0,140,374,0,a
105,6.0,0.2,1240,2500,0,a
106,8.0,14.4,44485,227323,0,a
107,4.5,1.1,20055,10181,0,a
108,5.5,0.4,4146,5536,0,a
565,5.7,13.4,405209,87529,1,a
620,4.5,0.1,7922,2342,0,a
109,4.5,21.6,172076,105876,0,a
111,4.0,4.2,39645,21755,0,a
113,4.4,2.0,9237,22462,-1,a
114,4.5,0.3,4335,2971,0,a
115,4.7,15.1,557975,79632,1,a
116,4.5,1.2,14353,10271,0,a
117,4.5,0.0,202,218,0,a
118,4.5,0.1,444,1046,0,u
119,4.5,0.0,272,367,0,a
120,5.0,0.1,660,775,0,a
121,6.0,0.0,111,788,0,i
122,5.9,0.0,73,1567,-1,i
123,6.0,1.4,5742,79614,0,d
124,5.5,14.7,270522,71272,0,a
125,5.5,0.8,3818,19328,0,d
126,5.5,0.1,798,1535,0,a
127,5.0,4.5,108434,38713,0,a
128,5.0,0.0,0,81,0,u
129,5.5,0.5,1364,14870,0,d
130,5.0,0.5,10578,6150,0,a
132,4.5,0.0,0,790,0,u
133,5.0,0.0,0,39,0,u
134,4.5,0.3,2673,2821,0,a
135,5.0,0.1,377,1148,0,a
137,5.5,0.0,64,165,0,i
138,5.5,0.4,18434,4088,0,a
139,5.0,0.0,428,570,0,i
328,5.0,0.2,1183,2748,0,a
504,5.0,2.4,15960,23643,0,a
594,6.0,0.3,3230,4191,0,a
600,5.0,0.0,243,215,0,a
605,4.5,1.6,135633,21199,0,a
614,4.5,0.0,1519,390,0,a
624,5.0,0.0,117,45,0,u
639,5.5,0.0,64,8,0,a
28,5.0,4.4,53043,40950,0,a
40,7.5,24.8,167800,216187,0,a
101,5.0,0.0,174,622,0,d
136,5.9,0.9,6198,18907,-1,a
140,4.9,1.6,1923,56989,-1,u
141,5.0,0.0,0,218,0,u
142,5.5,8.4,22602,151678,0,a
143,5.5,0.1,0,2989,0,u
144,5.0,1.2,8333,16105,0,a
145,5.0,0.1,2194,996,0,a
146,4.5,0.0,0,590,0,u
148,4.5,0.6,17500,7589,0,a
149,5.0,1.3,6547,23653,0,a
150,4.5,0.0,24,2777,0,u
151,4.5,0.4,4029,5177,0,a
152,5.4,1.5,623,55927,-1,d
154,9.6,18.3,292566,127318,1,a
156,6.5,1.3,17867,14561,0,a
157,6.4,0.9,2961,27552,-1,a
158,5.9,0.0,214,778,-1,a
159,5.4,2.1,2895,70975,-1,d
161,5.0,0.2,10258,2642,0,a
163,4.5,0.2,1446,2831,0,u
164,5.4,0.0,241,954,-1,a
165,7.7,69.8,342193,106471,1,a
168,5.0,0.4,1924,8864,0,u
169,4.5,0.4,6225,4483,0,a
170,5.0,0.1,2033,2612,0,a
200,6.0,8.5,28391,109639,0,a
560,4.5,0.1,282,938,0,a
561,4.5,0.0,176,207,0,a
568,5.5,0.1,868,1510,0,a
583,5.0,0.2,553,2952,0,a
91,4.5,0.1,407,929,0,a
104,5.0,0.1,299,2688,0,a
110,4.5,1.1,1933,12105,0,a
171,4.0,1.5,6290,9632,0,u
172,4.5,0.4,180,3114,0,a
173,4.0,8.4,84089,47293,0,a
174,4.0,0.6,461,5276,0,u
175,4.0,12.0,31725,87933,0,a
176,4.0,0.8,1867,4667,0,a
177,4.0,0.0,84,960,0,i
178,4.0,0.1,417,746,0,a
179,4.0,0.0,206,323,0,a
180,4.0,0.1,479,2574,0,i
181,4.0,0.0,19,773,0,u
182,4.0,0.8,2073,5653,0,a
183,5.0,0.1,565,1679,0,a
184,5.0,0.2,378,2480,0,a
185,4.9,0.1,257,1228,-1,a
186,5.5,0.1,162,1450,0,a
187,4.9,0.0,390,319,-1,a
188,5.5,0.1,65,2080,0,a
189,4.5,0.3,1258,2742,0,a
190,5.5,0.1,93,2264,0,a
191,4.5,0.2,1263,2161,0,u
192,4.5,0.5,142,13891,0,u
193,5.4,0.1,157,2698,-1,i
194,5.0,0.8,13085,12714,0,a
195,5.0,0.9,8098,15622,0,a
196,5.0,0.0,0,242,0,u
197,4.5,0.0,0,461,0,u
492,5.5,0.7,3746,12040,0,a
575,5.0,0.2,622,2915,0,a
584,5.5,0.1,129,1580,0,a
599,5.0,0.1,1821,1763,0,a
623,4.0,0.2,9244,1505,0,a
42,5.5,0.0,407,771,0,a
153,4.5,0.1,1099,765,0,a
198,5.0,1.8,10281,14300,0,a
