id,name,full_name,team,team_id,pos,pos_id,price,proj_gw,proj_6gw,proj_by_gw,mins_proj,value,sel_pct,pts_last,mins_last,ppg_last,goals_last,assists_last,xgi90_last,defcon_last,cs_last,bonus_last,status,news,joined,is_new,pens,corners,fk,fdr6,cs_rate,note
426,B.Fernandes,Bruno Borges Fernandes,MUN,16,MID,3,12.0,6.496,38.98,"[6.674, 7.209, 6.165, 6.107, 6.165, 6.658]",80,0.5414,48.7,235,3065,6.7,9,24,0.68,287,7,41,a,,2020-01-30,False,1,4,1,17,0.283,"United's #1 pen taker, on corners and FKs; 24 assists last season"
411,Haaland,Erling Haaland,MCI,15,FWD,4,15.5,6.334,38.0,"[6.572, 6.066, 7.138, 5.544, 7.138, 5.544]",77,0.4086,74.8,239,2953,6.8,27,8,0.86,104,13,43,a,,2022-07-01,False,1,,,18,0.312,City's #1 pen taker; 37 goals in his first six games across seasons
4,Gabriel,Gabriel dos Santos Magalhães,ARS,1,DEF,2,8.0,5.878,35.27,"[6.747, 5.054, 5.567, 5.577, 5.577, 6.747]",74,0.7348,26.1,209,2750,6.5,3,5,0.16,277,18,30,a,,2020-09-01,False,,,,18,0.491,
40,Rogers,Morgan Rogers,CHE,6,MID,3,7.5,5.675,34.05,"[5.437, 6.389, 4.509, 6.389, 5.437, 5.887]",86,0.7566,30.0,169,3280,4.6,10,8,0.31,230,9,17,a,,2026-07-21,True,,,,18,0.254,
481,Anderson,Elliot Anderson,MCI,15,MID,3,6.5,5.556,33.34,"[5.725, 5.367, 6.127, 4.996, 6.127, 4.996]",86,0.8548,11.9,180,3332,4.7,4,5,0.21,515,10,16,a,,2026-07-02,True,,,,18,0.312,
397,Semenyo,Antoine Semenyo,MCI,15,MID,3,8.5,5.11,30.66,"[5.3, 4.898, 5.751, 4.481, 5.751, 4.481]",84,0.6012,22.4,202,3200,5.5,17,6,0.4,236,12,18,a,,2026-01-09,False,3,,,18,0.312,Wide role under Maresca may cost some of last season's central output
480,Gibbs-White,Morgan Gibbs-White,NFO,18,MID,3,8.0,4.995,29.97,"[5.628, 4.374, 5.183, 4.374, 5.628, 4.785]",81,0.6244,11.6,188,3101,5.1,15,4,0.39,178,10,18,a,,2022-08-19,False,2,,1,18,0.232,
13,Rice,Declan Rice,ARS,1,MID,3,7.5,4.97,29.82,"[5.513, 4.447, 4.756, 4.797, 4.797, 5.513]",80,0.6627,22.4,184,3093,5.1,4,9,0.3,376,18,23,a,,2023-07-15,False,,5,1,18,0.491,
106,Thiago,Igor Thiago Nascimento Rodrigues,BRE,4,FWD,4,8.0,4.888,29.33,"[5.152, 4.758, 5.593, 4.758, 4.711, 4.351]",86,0.6109,16.0,181,3282,4.8,22,1,0.61,214,10,22,a,,2024-07-01,False,1,,,19,0.232,
260,Wilson,Harry Wilson,LEE,13,MID,3,6.5,4.862,29.17,"[4.728, 5.119, 4.728, 5.557, 5.119, 3.92]",70,0.748,8.5,168,2674,4.7,10,9,0.36,177,9,21,a,,2026-07-08,True,,,,19,0.232,
388,Guéhi,Marc Guéhi,MCI,15,DEF,2,6.0,4.763,28.58,"[4.977, 4.515, 5.451, 4.093, 5.451, 4.093]",82,0.7939,23.8,179,3150,5.1,3,5,0.19,278,14,14,a,,2026-01-19,False,,,,18,0.312,
12,Saka,Bukayo Saka,ARS,1,MID,3,9.5,4.745,28.47,"[5.339, 4.172, 4.51, 4.554, 4.554, 5.339]",64,0.4995,10.6,157,2218,5.1,7,10,0.6,184,12,18,a,,2018-11-28,False,1,6,2,18,0.491,Arsenal's #1 penalty taker
165,João Pedro,João Pedro Junqueira de Jesus,CHE,6,FWD,4,7.5,4.737,28.42,"[4.537, 5.337, 3.756, 5.337, 4.537, 4.915]",70,0.6315,54.3,177,2658,5.1,15,9,0.57,138,10,30,a,,2025-07-02,False,,,,18,0.254,4 goals across pre-season
356,Virgil,Virgil van Dijk,LIV,14,DEF,2,6.5,4.72,28.32,"[4.464, 4.855, 4.828, 5.262, 4.464, 4.449]",90,0.7262,16.2,175,3420,4.6,6,1,0.14,352,10,10,a,,2018-01-01,False,,,,17,0.307,
